Gene,RefSeq
AKT1,NM_001014431
ALK,NM_004304
APC,NM_000038
BRAF,NM_004333
CDH1,NM_004360
CTNNB1,NM_001098210
EGFR,NM_005228
ERBB2,NM_004448
FBXW7,NM_033632
FGFR2,NM_022970
FOXL2,NM_023067
GNAQ,NM_002072
GNAS,NM_080425
KIT,NM_000222
KRAS,NM_033360
MAP2K1,NM_002755
MET,NM_001127500
MSH6,NM_000179
NRAS,NM_002524
PDGFRA,NM_006206
PIK3CA,NM_006218
PTEN,NM_000314
SMAD4,NM_005359
SRC,NM_005417
STK11,NM_000455
TP53,NM_000546
